구별,강도,살인,절도,폭력,강간,강도검거율,살인검거율,절도검거율,폭력검거율,강간검거율,인구수,CCTV,범죄,검거
강남구,1.0,1.0,1.0,1.0,1.0,90.9090909090909,83.33333333333334,48.37675350701402,86.6294524189261,80.0599700149925,546291.0,7721.0,1.0,77.86172003667139
강동구,0.45454545454545453,0.4166666666666667,0.6701402805611223,0.49760765550239233,0.2353823088455772,100.0,100.0,53.827751196172244,85.41666666666666,85.35031847133759,462453.0,3549.0,0.45486847322424256,84.91894726683529
강북구,0.45454545454545453,0.4166666666666667,0.349498997995992,0.47129186602870815,0.2653673163418291,100.0,80.0,67.54587155963303,90.07332205301748,83.05084745762711,294804.0,3331.0,0.3914740603157301,84.13400821405553
강서구,0.6363636363636364,0.25,0.797995991983968,0.6382243487506646,0.391304347826087,100.0,100.0,59.51783023606229,91.6701374427322,74.71264367816092,569978.0,3546.0,0.5427776649848711,85.18012227139108
관악구,0.8181818181818182,0.8333333333333334,0.7879759519038076,0.6823498139287613,0.49025487256371814,88.88888888888889,80.0,53.40793489318413,80.48305414881185,85.3211009174312,500582.0,5772.0,0.7224191579822877,77.6201957696632
광진구,0.0,0.5,0.6693386773547094,0.45534290271132377,0.3448275862068966,0.0,83.33333333333334,49.76047904191617,86.86514886164623,75.65217391304347,351959.0,3828.0,0.39390183325458594,59.12222702998783
구로구,0.7272727272727273,0.9166666666666666,0.627254509018036,0.5465178096757044,0.32533733133433285,100.0,100.0,53.73801916932908,83.94941634241245,66.82027649769586,416815.0,5003.0,0.6286098087934935,80.90154240188747
금천구,0.2727272727272727,0.16666666666666666,0.44809619238476955,0.3527379053694843,0.1904047976011994,100.0,50.0,59.2128801431127,85.4559155990957,68.50393700787401,,,0.28612656694987854,72.6345465500165
노원구,0.2727272727272727,0.25,0.6028056112224449,0.5863902179691654,0.2698650674662669,33.33333333333333,100.0,48.47074468085106,79.64641885766093,83.88888888888889,,,0.39635763387702994,69.06787715214685
도봉구,0.0,0.25,0.388376753507014,0.2921318447634237,0.10494752623688156,0.0,100.0,56.34674922600619,87.89808917197452,77.14285714285715,310133.0,2378.0,0.20709122490146387,64.27753910816757
동대문구,0.18181818181818182,0.3333333333333333,0.6236472945891783,0.41626794258373206,0.1874062968515742,100.0,100.0,52.89203084832905,82.75862068965517,84.8,359113.0,3268.0,0.3484946098352,84.09013030759685
동작구,0.45454545454545453,0.16666666666666666,0.4789579158316633,0.35114300903774587,0.31784107946026985,100.0,100.0,49.20502092050209,78.57683573050718,50.47169811320755,390740.0,3024.0,0.35383082510836006,75.65071095284335
마포구,0.18181818181818182,0.16666666666666666,0.5815631262525051,0.5861244019138756,0.6536731634182908,50.0,100.0,45.00344589937974,81.17913832199547,84.40366972477065,375639.0,3155.0,0.43396910801390404,72.11725078922919
서대문구,0.5454545454545454,0.4166666666666667,0.44649298597194387,0.2902711323763955,0.2353823088455772,100.0,80.0,50.7181328545781,81.13553113553114,91.71974522292994,321379.0,3793.0,0.3868535278630258,80.71468184260783
서초구,0.2727272727272727,0.25,0.769939879759519,0.5584795321637427,0.6461769115442278,100.0,66.66666666666666,53.305570015616865,82.86530223702998,76.10208816705337,410766.0,5395.0,0.4994647192389524,75.78792541727337
성동구,0.18181818181818182,0.16666666666666666,0.39238476953907814,0.2886762360446571,0.1874062968515742,100.0,100.0,54.95403472931562,88.21362799263352,77.60000000000001,285543.0,4409.0,0.2433904301840316,84.15353254438983
성북구,0.09090909090909091,0.25,0.4581162324649299,0.3838383838383838,0.2368815592203898,100.0,100.0,62.55468066491689,88.43490304709142,81.64556962025317,440089.0,4578.0,0.2839490532865589,86.5270306664523
송파구,0.45454545454545453,0.16666666666666666,0.8821643286573146,0.7094630515683147,0.43478260869565216,100.0,100.0,46.933212176283504,80.47958036717871,75.86206896551724,661515.0,4031.0,0.5295244220266806,80.6549723017959
양천구,0.2727272727272727,0.16666666666666666,0.5907815631262525,0.4189261031366295,0.17091454272863568,100.0,100.0,52.98507462686567,79.44162436548223,80.7017543859649,440591.0,4447.0,0.3240032296770914,82.62569067566255
영등포구,0.9090909090909091,0.4166666666666667,0.8264529058116232,0.6419457735247209,0.49025487256371814,90.0,100.0,46.21726479146459,82.02898550724638,72.47706422018348,398290.0,4566.0,0.6568822255315275,78.14466290377888
용산구,0.6363636363636364,0.4166666666666667,0.39198396793587176,0.45108984582668793,0.4197901049475262,100.0,60.0,51.94274028629857,78.78609310548026,85.0,230692.0,3258.0,0.46317884434807777,75.14576667835577
은평구,0.45454545454545453,0.3333333333333333,0.6,0.4797979797979798,0.2638680659670165,80.0,100.0,63.19305277221109,86.31578947368422,82.95454545454545,471155.0,5027.0,0.42630896672875684,82.49267754008815
종로구,0.7272727272727273,0.16666666666666666,0.5262525050100201,0.4218500797448166,0.34182908545727136,87.5,0.0,46.91546077684692,83.1758034026465,78.94736842105263,151127.0,2031.0,0.4367742128303004,59.30772652010921
중구,0.45454545454545453,0.08333333333333333,0.5470941883767535,0.4003189792663477,0.2908545727136432,80.0,100.0,53.040293040293044,84.06374501992032,63.4020618556701,,,0.3552293056471064,76.1012199831767
중랑구,0.18181818181818182,0.16666666666666666,0.6044088176352705,0.5148856990962254,0.22488755622188905,100.0,100.0,58.48806366047745,85.90604026845638,80.66666666666666,387940.0,4512.0,0.3385333842876467,85.0121541191201
