구분,강간검거,강간발생,"강간,추행검거","강간,추행발생",강도검거,강도발생,살인검거,살인발생,절도검거,절도발생,폭력검거,폭력발생,구별,lat,lng
강남,0.0,0.0,359.0,458.0,8.0,9.0,5.0,6.0,654.0,1565.0,2178.0,2494.0,강남구,37.5094352,127.0669578
강동,0.0,0.0,134.0,157.0,5.0,5.0,6.0,5.0,900.0,1672.0,1599.0,1872.0,강동구,37.528511,127.1268224
강북,0.0,0.0,147.0,177.0,6.0,5.0,4.0,5.0,589.0,872.0,1597.0,1773.0,강북구,37.63719740000001,127.0273048
강서,0.0,0.0,195.0,261.0,7.0,7.0,3.0,3.0,1185.0,1991.0,2201.0,2401.0,강서구,37.5513622,126.8502799
관악,0.0,0.0,279.0,327.0,8.0,9.0,8.0,10.0,1050.0,1966.0,2066.0,2567.0,관악구,37.4743945,126.9513489
광진,0.0,0.0,174.0,230.0,0.0,0.0,5.0,6.0,831.0,1670.0,1488.0,1713.0,광진구,37.5428231,127.0838395
구로,0.0,0.0,145.0,217.0,9.0,8.0,11.0,11.0,841.0,1565.0,1726.0,2056.0,구로구,37.5074418,126.8902237
금천,0.0,0.0,87.0,127.0,3.0,3.0,1.0,2.0,662.0,1118.0,1134.0,1327.0,금천구,37.4568129,126.8968061
남대문,0.0,0.0,36.0,57.0,2.0,2.0,0.0,0.0,265.0,455.0,427.0,480.0,중구,37.5547584,126.9734981
노원,0.0,0.0,151.0,180.0,1.0,3.0,3.0,3.0,729.0,1504.0,1757.0,2206.0,노원경찰서,37.641836,127.072198
도봉,54.0,70.0,0.0,0.0,0.0,0.0,3.0,3.0,546.0,969.0,966.0,1099.0,도봉구,37.6533589,127.052682
동대문,0.0,0.0,106.0,125.0,2.0,2.0,4.0,4.0,823.0,1556.0,1296.0,1566.0,동대문구,37.58506149999999,127.0457679
동작,0.0,0.0,107.0,212.0,5.0,5.0,3.0,2.0,588.0,1195.0,1038.0,1321.0,동작구,37.5130866,126.9428498
마포,0.0,0.0,368.0,436.0,1.0,2.0,2.0,2.0,653.0,1451.0,1790.0,2205.0,마포구,37.550814,126.954028
방배,46.0,61.0,0.0,0.0,0.0,0.0,1.0,1.0,188.0,305.0,355.0,391.0,서초구,37.4945959,126.9831279
서대문,0.0,0.0,144.0,157.0,6.0,6.0,4.0,5.0,565.0,1114.0,886.0,1092.0,서대문구,37.560607,126.9626106
서부,0.0,0.0,64.0,82.0,2.0,2.0,2.0,2.0,460.0,726.0,779.0,908.0,은평구,37.6020914,126.9213528
서초,0.0,0.0,282.0,370.0,3.0,3.0,1.0,2.0,836.0,1616.0,1386.0,1710.0,서초구,37.4954676,127.0053395
성동,0.0,0.0,97.0,125.0,2.0,2.0,2.0,2.0,538.0,979.0,958.0,1086.0,성동구,37.56169149999999,127.0363006
성북,78.0,103.0,0.0,0.0,0.0,0.0,1.0,1.0,335.0,540.0,653.0,732.0,성북구,37.5898228,127.0163427
송파,0.0,0.0,220.0,290.0,6.0,5.0,2.0,2.0,1033.0,2201.0,2148.0,2669.0,송파구,37.5019044,127.1271338
수서,0.0,0.0,175.0,209.0,2.0,2.0,5.0,6.0,553.0,930.0,1081.0,1268.0,강남구,37.49349,127.0772119
양천,92.0,114.0,0.0,0.0,3.0,3.0,2.0,2.0,781.0,1474.0,1252.0,1576.0,양천구,37.5167711,126.8656996
영등포,0.0,0.0,237.0,327.0,9.0,10.0,6.0,5.0,953.0,2062.0,1981.0,2415.0,영등포구,37.5260441,126.9008091
용산,0.0,0.0,238.0,280.0,7.0,7.0,3.0,5.0,508.0,978.0,1337.0,1697.0,용산구,37.5387099,126.9659183
은평,0.0,0.0,82.0,94.0,2.0,3.0,2.0,2.0,486.0,771.0,779.0,897.0,은평구,37.6280204,126.9287899
종로,0.0,0.0,120.0,142.0,4.0,5.0,0.0,2.0,333.0,723.0,722.0,847.0,종로구,37.571824,126.9841533
종암,51.0,55.0,0.0,0.0,1.0,1.0,2.0,2.0,380.0,603.0,624.0,712.0,성북구,37.603989,127.039937
중랑,0.0,0.0,121.0,150.0,2.0,2.0,2.0,2.0,882.0,1508.0,1664.0,1937.0,중랑구,37.6056429,127.0764866
중부,0.0,0.0,87.0,137.0,2.0,3.0,2.0,1.0,459.0,910.0,839.0,1026.0,중구,37.56361709999999,126.9896517
혜화,0.0,0.0,60.0,86.0,3.0,3.0,0.0,0.0,283.0,590.0,598.0,740.0,종로구,37.5719679,126.9989574
