,Location,Company,Title,Career,URL
0,서울 강남구,웨이커,AI NLP 엔지니어(LLM 최적화),경력 3-9년,https://www.wanted.co.kr/wd/215269
1,서울 강남구,셀렉트스타,AI NLP 연구원,경력 3-5년,https://www.wanted.co.kr/wd/160748
2,서울 송파구,테스트웍스,NLP/LLM 엔지니어,경력 3-10년,https://www.wanted.co.kr/wd/210245
3,서울 강남구,덴컴,Front-end 개발자,경력 4-10년,https://www.wanted.co.kr/wd/214274
4,서울 서초구,파인더스에이아이,Computer Vision AI Engineer_Junior,경력 5-12년,https://www.wanted.co.kr/wd/218197
5,서울 강남구,아이스크림에듀,머신러닝 엔지니어,경력 2-5년,https://www.wanted.co.kr/wd/198855
6,서울 강남구,노타(Nota),Machine Learning Engineer (ITS팀),경력 3-6년,https://www.wanted.co.kr/wd/190270
7,서울 강남구,웨이센(waycenInc.),Medical AI Research Engineer(Senior),경력 5-15년,https://www.wanted.co.kr/wd/108146
8,서울 강남구,덴컴,음성 및 자연어 AI Researcher 및 AI Senior Researcher,경력 4-10년,https://www.wanted.co.kr/wd/212282
9,서울 강남구,브레인커머스,[잡플래닛] AI Engineer,경력 3-10년,https://www.wanted.co.kr/wd/184534
10,서울 서초구,뷰런테크놀로지,Deep Learning Engineer,경력 1-10년,https://www.wanted.co.kr/wd/212689
11,서울 강남구,드랩,[드랩아트] ML 엔지니어,경력 3-15년,https://www.wanted.co.kr/wd/123360
12,서울 서초구,북아이피스,머신러닝 엔지니어 (ML),경력 3-5년,https://www.wanted.co.kr/wd/195583
13,서울 강남구,두나무(업비트/증권플러스),MLOps Engineer,경력 3-20년,https://www.wanted.co.kr/wd/219948
14,서울 강남구,덴컴,AI Research Leader,경력 10-15년,https://www.wanted.co.kr/wd/212275
15,서울 서초구,뷰런테크놀로지,자율주행 인지 개발자,경력 2-7년,https://www.wanted.co.kr/wd/199355
16,서울 강남구,메디픽셀,Machine Learning Engineer (Vision),경력 1-10년,https://www.wanted.co.kr/wd/204312
17,서울 금천구,인터엑스,"[서울] AI Researcher (언어모델, LLM, NLP) (병역특례한정)",경력 2-7년,https://www.wanted.co.kr/wd/192217
18,서울 강남구,클로버추얼패션(CLOVirtualFashion),"Machine Learning Engineer, R&D",경력 2-10년,https://www.wanted.co.kr/wd/157781
19,서울 강남구,메디픽셀,Senior Machine Learning Engineer (Vision),경력 5-16년,https://www.wanted.co.kr/wd/208568
20,서울 강남구,엘박스,[200억↑투자] AI Team Lead,경력 7-15년,https://www.wanted.co.kr/wd/211045
21,서울 강남구,앤서스랩코리아,[ATI]Machine Learning Research Scientist,경력 5-10년,https://www.wanted.co.kr/wd/210657
22,서울 서초구,에코앤리치,ML/DL 엔지니어,경력 1-10년,https://www.wanted.co.kr/wd/176365
23,서울 강남구,캐낸다,백엔드 개발자/머신러닝 엔지니어,경력 5-10년,https://www.wanted.co.kr/wd/212345
24,서울 강남구,뉴블라,Compiler Engineer,경력 3-15년,https://www.wanted.co.kr/wd/212868
25,서울 강남구,웨이커,AI NLP 엔지니어(RAG 최적화),경력 3-10년,https://www.wanted.co.kr/wd/215271
26,서울 강남구,포바이포,영상화질개선 기술개발,경력 2-6년,https://www.wanted.co.kr/wd/217286
27,서울 송파구,플래티어,[그루비 SaaS 솔루션] 데이터사이언스팀 리더,경력 5-15년,https://www.wanted.co.kr/wd/54715
28,서울 서초구,스튜디오랩(STUDIO LAB),머신러닝 엔지니어 - 컴퓨터 비전,경력 3-7년,https://www.wanted.co.kr/wd/82388
29,서울 강남구,포티투닷(42dot),Computer Vision Engineer (자율주행),경력 5-20년,https://www.wanted.co.kr/wd/216430
30,서울 송파구,버즈빌(buzzvil),"[광고 추천팀]머신러닝 엔지니어 (신입 가능, 병역특례요원)",신입-경력 10년,https://www.wanted.co.kr/wd/220746
31,서울 서초구,마키나락스,머신러닝 엔지니어 (Battery PJT),경력 3-7년,https://www.wanted.co.kr/wd/207325
32,서울 강남구,피트릭스,AI 엔지니어,경력 3-8년,https://www.wanted.co.kr/wd/190639
33,서울 강남구,코딧(CODITCorp.),머신러닝 엔지니어 (3년이상),경력 3-20년,https://www.wanted.co.kr/wd/94542
34,서울 송파구,미니레코드,인공지능 음성 합성(TTS) 전문가,경력 1-5년,https://www.wanted.co.kr/wd/214287
35,서울 강남구,펄핏,ML Engineer(머신러닝 엔지니어),경력 2-7년,https://www.wanted.co.kr/wd/209193
36,서울 강남구,씨디알아이(CDRI),AI 엔지니어 (데이터 사이언티스트),신입-경력 10년,https://www.wanted.co.kr/wd/219589
37,서울 강남구,여기어때컴퍼니,MLOps Engineer,경력 3-7년,https://www.wanted.co.kr/wd/210872
38,서울 강남구,노타(Nota),AI Application Engineer (NetsPresso팀),경력 2-6년,https://www.wanted.co.kr/wd/217186
39,서울 강남구,테서,의료 텍스트 자연어처리(NLP) AI 연구원,경력 1-10년,https://www.wanted.co.kr/wd/172533
40,서울 금천구,인터엑스,"[서울] AI Researcher (언어모델, LLM, NLP)",경력 2-7년,https://www.wanted.co.kr/wd/219210
41,서울 강남구,플루언트,MLOps Engineer (DevOps Engineer),경력 3-15년,https://www.wanted.co.kr/wd/213313
42,서울 강남구,마인즈앤컴퍼니,AI Engineer (전문연 지원 가능),경력 3-10년,https://www.wanted.co.kr/wd/215978
43,서울 서초구,셀키,AI Data Scientist,경력 3-10년,https://www.wanted.co.kr/wd/210403
44,서울 강남구,엘박스,[200억↑투자] ML Engineer (LLM Application),경력 3-10년,https://www.wanted.co.kr/wd/220468
45,서울 금천구,인터엑스,[서울][전문연구요원] 데이터 분석가 (이미지 및 영상),경력 2-5년,https://www.wanted.co.kr/wd/219967
46,서울 강남구,메디웨일,머신러닝 엔지니어,신입,https://www.wanted.co.kr/wd/184271
47,서울 강남구,에스엠씨인터내셔널,[디저트39] AI개발자,경력 5-15년,https://www.wanted.co.kr/wd/219642
48,서울 강남구,모빌린트,[200억↑투자] Deep Learning Optimization Engineer,신입-경력 20년,https://www.wanted.co.kr/wd/147525
49,서울 강남구,데이블(Dable),Senior Machine Learning Engineer (4년 이상),경력 4-10년,https://www.wanted.co.kr/wd/206721
50,서울 서초구,모빅랩,Senior AI Researcher,경력 3-25년,https://www.wanted.co.kr/wd/205410
51,서울 강남구,하이퍼커넥트,Machine Learning Software Engineer (Hyper-X),경력 3-20년,https://www.wanted.co.kr/wd/213198
52,서울 강남구,알세미,AI/ML Researcher (시니어),경력 5-15년,https://www.wanted.co.kr/wd/199163
53,서울 서초구,마스오토,머신러닝 엔지니어,경력 3-20년,https://www.wanted.co.kr/wd/198842
54,서울 강남구,포티투닷(42dot),Machine Learning Engineer (Motion Planning),경력 5-20년,https://www.wanted.co.kr/wd/216434
55,서울 송파구,플래티어,데이터 엔지니어,경력 2-7년,https://www.wanted.co.kr/wd/203541
56,서울 강남구,파이온코퍼레이션,브이캣 딥러닝 엔지니어,경력 2-10년,https://www.wanted.co.kr/wd/111669
57,서울 강남구,채널코퍼레이션,[채널톡] MLOps Engineer (LLM),경력 1-5년,https://www.wanted.co.kr/wd/217520
58,서울 강남구,매스프레소(콴다),[1500억↑투자] AI Engineer (LLM),경력 1-10년,https://www.wanted.co.kr/wd/210690
59,서울 금천구,인터엑스,[서울] 데이터 분석가 (이미지 및 영상),경력 2-5년,https://www.wanted.co.kr/wd/219966
60,서울 강남구,더블유컨셉코리아(W컨셉),검색&데이터 개발팀 AI/ML Engineer,경력 6-15년,https://www.wanted.co.kr/wd/200454
61,서울 서초구,와포,AI 개발 및 백엔드 개발자,경력 4-10년,https://www.wanted.co.kr/wd/212769
62,서울 강남구,더블유컨셉코리아(W컨셉),검색&데이터 개발팀 검색 엔진 개발자,경력 6-15년,https://www.wanted.co.kr/wd/208240
63,서울 송파구,엑스페릭스,바이오인식 / OCR 알고리즘 개발,경력 2-7년,https://www.wanted.co.kr/wd/207971
64,서울 강남구,네오사피엔스(타입캐스트),AI optimization engineer,경력 3-20년,https://www.wanted.co.kr/wd/211870
65,서울 강남구,매스프레소(콴다),[1500억↑투자] AI Researcher (LLM),경력 3-10년,https://www.wanted.co.kr/wd/161371
66,서울 강남구,포티투닷(42dot),Machine Learning Engineer (Autonomous Driving),경력 5-20년,https://www.wanted.co.kr/wd/118630
67,서울 강남구,클럼엘,[2년 이상] 주니어 Software Engineer (Data),경력 2-6년,https://www.wanted.co.kr/wd/212056
68,서울 강남구,엘박스,[200억↑투자] MLOps Engineer,경력 3-10년,https://www.wanted.co.kr/wd/211043
69,서울 구로구,더매트릭스,AI 응용 개발자(백엔드/AI모델 서빙),경력 2-7년,https://www.wanted.co.kr/wd/220712
70,서울 서초구,마키나락스,시니어 머신러닝 엔지니어,경력 8-15년,https://www.wanted.co.kr/wd/104901
71,서울 강남구,강남언니(힐링페이퍼),머신러닝 엔지니어,경력 3-9년,https://www.wanted.co.kr/wd/195248
72,서울 강남구,클로버추얼패션(CLOVirtualFashion),"Machine Learning Engineer (전문연구요원), R&D",경력 2-10년,https://www.wanted.co.kr/wd/157782
73,서울 서초구,티비유,Data Engineer,경력 4-10년,https://www.wanted.co.kr/wd/172270
74,서울 강남구,씨제이대한통운(CJ대한통운),디지털물류플랫폼 데이터 사이언티스트,경력 3-8년,https://www.wanted.co.kr/wd/163197
75,서울 강남구,포티투닷(42dot),3D Vision Engineer,경력 5-20년,https://www.wanted.co.kr/wd/216443
76,서울 서초구,로민,멀티모달(컴퓨터비전/자연어처리) 엔지니어,경력 5-15년,https://www.wanted.co.kr/wd/218346
77,서울 강남구,채널코퍼레이션,[채널톡] Machine Learning Engineer,경력 2-10년,https://www.wanted.co.kr/wd/167547
78,서울 강남구,앤서스랩코리아,[ATI]MLOps Engineer,경력 5-10년,https://www.wanted.co.kr/wd/210659
79,서울 강남구,뉴블라,Machine Learning Engineer,경력 3-10년,https://www.wanted.co.kr/wd/212864
80,서울 강남구,에너자이(ENERZAi),(전문연구요원 가능) AI 컴파일러 엔지니어,신입,https://www.wanted.co.kr/wd/110132
81,서울 송파구,다이얼로그디자인에이전시,AI/NLP R&D Engineer (3년 이상),경력 3-5년,https://www.wanted.co.kr/wd/186671
82,서울 강남구,케이알엠,[로봇연구소] Visual / LiDAR SLAM 연구원,경력 1-5년,https://www.wanted.co.kr/wd/217584
83,서울 강남구,케이알엠,[로봇연구소] AI Perception 연구원,경력 1-5년,https://www.wanted.co.kr/wd/217579
84,서울 서초구,온코메드,알파핵종 알고리즘 개발자,경력 1-2년,https://www.wanted.co.kr/wd/208699
85,서울 강남구,에너자이(ENERZAi),AI 최적화 Researcher,신입,https://www.wanted.co.kr/wd/219652
86,서울 서초구,이스트소프트(ESTsoft),[ESTsoft] LLM 머신러닝 엔지니어,경력 3-7년,https://www.wanted.co.kr/wd/208822
87,서울 서초구,마키나락스,머신러닝 엔지니어,경력 3-7년,https://www.wanted.co.kr/wd/106323
88,서울 서초구,파인더스에이아이,Computer Vision AI Engineer_senior,경력 5-12년,https://www.wanted.co.kr/wd/218200
89,서울 강남구,여기어때컴퍼니,Senior ML Engineer,경력 7-15년,https://www.wanted.co.kr/wd/216849
90,서울 강남구,포티투닷(42dot),Sensor Fusion Engineer (자율주행),경력 3-20년,https://www.wanted.co.kr/wd/150909
91,서울 강남구,노타(Nota),Quantization Research Engineer,경력 2-5년,https://www.wanted.co.kr/wd/134520
92,서울 강남구,모빌린트,[200억↑투자] NPU Compiler Engineer (전문연구요원 가능),신입-경력 10년,https://www.wanted.co.kr/wd/117659
93,서울 강남구,하이퍼커넥트,Sr. Machine Learning Engineer,경력 2-30년,https://www.wanted.co.kr/wd/182818
94,서울 강남구,덴컴,Front-end Tech Leader,경력 8-10년,https://www.wanted.co.kr/wd/212286
95,서울 서초구,로민,[전문연구요원] 멀티모달(컴퓨터비전/자연어처리) 엔지니어,경력 1-5년,https://www.wanted.co.kr/wd/218347
96,서울 서초구,마스오토,리서치 엔지니어 (state estimation),경력 1-10년,https://www.wanted.co.kr/wd/198845
97,서울 강남구,모빌린트,[200억↑투자] Deep Learning Research Engineer,경력 5-20년,https://www.wanted.co.kr/wd/75640
98,서울 서초구,마키나락스,머신러닝 엔지니어 (강화학습),신입-경력 8년,https://www.wanted.co.kr/wd/96265
99,서울 강남구,토스뱅크,ML Modeler (Product),경력 2-20년,https://www.wanted.co.kr/wd/203917
100,서울 서초구,마키나락스,[전문연구요원] 머신러닝 엔지니어 (강화학습),신입-경력 10년,https://www.wanted.co.kr/wd/117756
101,서울 서초구,한국딥러닝주식회사,3D 딥러닝 엔지니어 (5년 이상),경력 5-20년,https://www.wanted.co.kr/wd/219818
102,서울 강남구,마인즈앤컴퍼니,[인공지능솔루션] 쿠버네티스 기반 서비스 개발 및 운영,경력 3-10년,https://www.wanted.co.kr/wd/217583
103,서울 금천구,엣지크로스,시니어 머신러닝 엔지니어,경력 5-20년,https://www.wanted.co.kr/wd/207670
104,서울 서초구,에이아이테크,Machine Vision 프로그램 개발,경력 1-8년,https://www.wanted.co.kr/wd/185529
105,서울 강남구,라피치,연구개발 담당자 (8년 이상),경력 8-17년,https://www.wanted.co.kr/wd/220172
106,서울 서초구,마키나락스,머신러닝 엔지니어 (RPMS),경력 5-10년,https://www.wanted.co.kr/wd/215867
107,서울 강남구,네이션에이,[AI R&D] ML Engineer,경력 2-10년,https://www.wanted.co.kr/wd/191546
