Title,Company,Career,academic,Location,Type,Skill,Address,Company_link,Title_link,S_day,D_day
"기술지원 (역설계, 3D모델링, 3D스캐너, 3차원측정)",㈜비전테크,신입·경력3년↑,초대졸↑,서울 서초구 외,정규직 외,"3D CAD, 2D CAD","서울 강서구 양천로 401 (가양동, 강서한강자이타워) ",https://www.jobkorea.co.kr/Recruit/Co_Read/C/158583,https://www.jobkorea.co.kr/Recruit/GI_Read/44730428?rPageCode=SL&logpath=21&sn=6,2024.05.21(화),2024.05.31(금)
각 분야별 신입경력 모집 (영업부/기술지원부/연구개발부),㈜바올테크,신입·경력,학력무관,서울 금천구 외,정규직,"성실성, 윤리의식,                                     적응성",서울 금천구 가산동 327-32 대륭테크노타운 12차 818호,https://www.jobkorea.co.kr/Recruit/Co_Read/C/70517,https://www.jobkorea.co.kr/Recruit/GI_Read/44693329?rPageCode=SL&logpath=21&sn=6,2024.05.16(목),2024.06.15(토)
2024 상반기 공개채용(마케팅/영업/CS/개발/사업기획/영어강사),㈜에듀클라우드,신입·경력,학력무관,서울 금천구 외,정규직,"계획성, 협동심,                                     꼼꼼함, 적응성",서울 금천구 가산디지털2로 101 (가산동) 한라원앤원타워 1101호 (주)에듀클라우드,https://www.jobkorea.co.kr/Recruit/Co_Read/C/35869759,https://www.jobkorea.co.kr/Recruit/GI_Read/44713543?rPageCode=SL&logpath=21&sn=6,2024.05.20(월),2024.06.18(화)
AI 혁신 우수인재 채용 [DATA분야],㈜케이티,신입·경력3년↑,대졸↑,서울 서초구 외,정규직,"C++, JAVA, Kafka, Python, R, Spark, SQL, Hive, DL","서울 종로구 종로3길 33 (청진동, KT 광화문빌딩 East) KT",https://www.jobkorea.co.kr/Recruit/Co_Read/C/610109,https://www.jobkorea.co.kr/Recruit/GI_Read/44700232?rPageCode=SL&logpath=21&sn=6,2024.05.17(금),2024.06.02(일)
AI 혁신 우수인재 채용 [AI분야],㈜케이티,경력3년↑,대졸↑,서울 서초구 외,정규직,"AWS, C, C++, JAVA, Python","서울 종로구 종로3길 33 (청진동, KT 광화문빌딩 East) KT",https://www.jobkorea.co.kr/Recruit/Co_Read/C/610109,https://www.jobkorea.co.kr/Recruit/GI_Read/44700465?rPageCode=SL&logpath=21&sn=6,2024.05.17(금),2024.06.02(일)
AI 혁신 우수인재 채용 [IT분야],㈜케이티,신입·경력3년↑,대졸↑,서울,정규직,"JAVA, JSP, MSA, NoSQL, Spring, SQL, Spring Framework, Cloud, DBMS, Restful API","서울 종로구 종로3길 33 (청진동, KT 광화문빌딩 East) KT",https://www.jobkorea.co.kr/Recruit/Co_Read/C/610109,https://www.jobkorea.co.kr/Recruit/GI_Read/44700202?rPageCode=SL&logpath=21&sn=6,2024.05.17(금),2024.06.02(일)
2024 기아 5월 경력 채용 생산/품질 부문,기아㈜,경력,대졸↑,서울 서초구 외,정규직,"Python, Pytorch, R, CAD, Excel, PowerPoint, CAE, CAM, DBMS, Microsoft Office","서울 서초구 헌릉로 12 (양재동, 현대기아자동차빌딩) ",https://www.jobkorea.co.kr/Recruit/Co_Read/C/153806,https://www.jobkorea.co.kr/Recruit/GI_Read/44653887?rPageCode=SL&logpath=21&sn=6,2024.05.16(목),2024.05.29(수)
㈜아이센스 상반기 신입 및 경력 대규모 채용,㈜아이센스,신입·경력,초대졸↑,서울 서초구 외,정규직,,"서울 서초구 반포대로28길 43 (서초동, 아이센스빌딩) (주)아이센스 빌딩",https://www.jobkorea.co.kr/Recruit/Co_Read/C/31661,https://www.jobkorea.co.kr/Recruit/GI_Read/44609085?rPageCode=SL&logpath=21&sn=6,2024.05.10(금),2024.06.09(일)
[스마트라이프텍㈜] 2024년 상반기 각 부문별 신입 / 경력직 채용,스마트라이프텍㈜,신입·경력1년↑,학력무관,서울 금천구 외,정규직,,"서울 금천구 가산디지털1로 145 (가산동, 에이스하이엔드타워3차) 603호",https://www.jobkorea.co.kr/Recruit/Co_Read/C/43834355,https://www.jobkorea.co.kr/Recruit/GI_Read/44654351?rPageCode=SL&logpath=21&sn=6,2024.05.10(금),2024.05.24(금)
[직영] 24년 신학기 각 부문 STAFF 모집,㈜DYB최선어학원,신입·경력,대졸↑,서울 강남구 외,정규직 외,"JAVA, MySQL, Oracle, PHP, Python, Illustrator, Photoshop, 파이널컷, 프리미어, 영어","서울 강남구 남부순환로 2917 (대치동, 청실종합상가) 4층 DYB최선어학원",https://www.jobkorea.co.kr/Recruit/Co_Read/C/17694266,https://www.jobkorea.co.kr/Recruit/GI_Read/44627403?rPageCode=SL&logpath=21&sn=6,2024.05.08(수),2024.06.07(금)
"헥토이노베이션 직군별 인재 모집 (인사,총무,재무,시스템운영,정보보안, 글로벌구독)",㈜헥토이노베이션,경력,학력무관,서울 강남구,정규직,"Android, API, iOS, JAVA, Javascript, Python, SQL, Linux, Illustrator, Photoshop","서울 강남구 테헤란로34길 6 (역삼동, 태광타워) 헥토이노베이션 본사",https://www.jobkorea.co.kr/Recruit/Co_Read/C/37828767,https://www.jobkorea.co.kr/Recruit/GI_Read/44554935?rPageCode=SL&logpath=21&sn=6,2024.05.01(수),2024.05.31(금)
[2024년 신입·경력 공개채용] 각 부문별 채용,㈜사이냅소프트,신입·경력,학력무관,서울 구로구 외,정규직,"AWS, JAVA, MySQL, Node.js, Python, React, Spring, TypeScript, Figma, C/C++",서울 강서구 마곡중앙4로 62 (마곡동) 사이냅소프트 R&D센터,https://www.jobkorea.co.kr/Recruit/Co_Read/C/22698,https://www.jobkorea.co.kr/Recruit/GI_Read/44556572?rPageCode=SL&logpath=21&sn=6,2024.04.29(월),2024.05.31(금)
각 부문별 경력/신입 인재영입,(주)우아한형제들,신입·경력,학력무관,서울 송파구,정규직 외,"ASP, API, ASP.NET, CSS, HTML, JAVA, Javascript, JSP, MSSQL, MySQL, Oracle, PHP, Spring, Spring Boot, SQL, WAS, Window, Linux, Illustrator",서울 송파구 위례성대로 2 (방이동) 우아한형제들,https://www.jobkorea.co.kr/Recruit/Co_Read/C/19021,https://www.jobkorea.co.kr/Recruit/GI_Read/34208668?rPageCode=SL&logpath=21&sn=6,상시채용,상시채용
브이캣 딥러닝 엔지니어,파이온코퍼레이션,경력2년↑,박사↑,서울 강남구,정규직,"Python, NeRF","서울 강남구 삼성로85길 26 (대치동, V&S) 601호",https://www.jobkorea.co.kr/Recruit/Co_Read/C/31046356,https://www.jobkorea.co.kr/Recruit/GI_Read/44719709?rPageCode=SL&logpath=21&sn=6,2024.05.20(월),2024.06.16(일)
머신러닝/딥러닝 엔지니어(전문연구요원 가능),딥브레인 AI,경력,석사↑,서울 강남구,정규직,"OpenCV, FFmpeg",서울 강남구 역삼로7길 5-6 (역삼동) 딥브레인에이아이,https://www.jobkorea.co.kr/Recruit/Co_Read/C/18673403,https://www.jobkorea.co.kr/Recruit/GI_Read/44631012?rPageCode=SL&logpath=21&sn=6,2024.05.08(수),2024.06.07(금)
[서울] AI Researcher (LLM),㈜인터엑스,경력2년↑,학력무관,서울 금천구,정규직,"Git, Pandas, Python, Pytorch, SQL, Matplotlib, Numpy, Scikit-Learn",서울 금천구 가산디지털1로 171  (가산동) 가산 SK V1 CENTER 1001호,https://www.jobkorea.co.kr/Recruit/Co_Read/C/33969120,https://www.jobkorea.co.kr/Recruit/GI_Read/44622369?rPageCode=SL&logpath=21&sn=6,2024.05.07(화),2024.06.06(목)
[서울-병역] AI Researcher LLM,㈜인터엑스,경력2년↑,학력무관,서울 금천구,정규직,"Git, Pandas, Python, Pytorch, SQL, Matplotlib, Numpy, Scikit-Learn",서울 금천구 가산디지털1로 171  (가산동) 가산 SK V1 CENTER 1001호,https://www.jobkorea.co.kr/Recruit/Co_Read/C/33969120,https://www.jobkorea.co.kr/Recruit/GI_Read/44622338?rPageCode=SL&logpath=21&sn=6,2024.05.07(화),2024.06.06(목)
영상분야 AI개발 (가산 근무),비솔,경력5년↑,학력무관,서울 금천구,정규직,"AWS, Pytorch, Tensorflow",서울 금천구 가산디지털1로 204 (가산동) 가산역반도아이비밸리 14층,https://www.jobkorea.co.kr/Recruit/Co_Read/C/213255,https://www.jobkorea.co.kr/Recruit/GI_Read/44568531?rPageCode=SL&logpath=21&sn=6,2024.05.01(수),2024.05.26(일)
코덱 SW 엔지니어,블루닷㈜,경력6년↑,대졸↑,서울 강남구,정규직,"C, C++","서울 강남구 언주로 527 (역삼동, 강남텔레피아빌딩) 4층",https://www.jobkorea.co.kr/Recruit/Co_Read/C/29363972,https://www.jobkorea.co.kr/Recruit/GI_Read/44549161?rPageCode=SL&logpath=21&sn=6,2024.04.25(목),2024.05.24(금)
딥러닝 개발자,블루닷㈜,경력6년↑,대졸↑,서울 강남구,정규직,,"서울 강남구 언주로 527 (역삼동, 강남텔레피아빌딩) 4층",https://www.jobkorea.co.kr/Recruit/Co_Read/C/29363972,https://www.jobkorea.co.kr/Recruit/GI_Read/44549142?rPageCode=SL&logpath=21&sn=6,2024.04.25(목),2024.05.24(금)
코덱 SW 엔지니어 (신입),블루닷㈜,신입,대졸↑,서울 강남구,정규직,"C, C++","서울 강남구 언주로 527 (역삼동, 강남텔레피아빌딩) 4층",https://www.jobkorea.co.kr/Recruit/Co_Read/C/29363972,https://www.jobkorea.co.kr/Recruit/GI_Read/44549406?rPageCode=SL&logpath=21&sn=6,2024.04.25(목),2024.05.24(금)
AI Research Engineer 시니어,웨이센,경력5년↑,대졸↑,서울 강남구,정규직,"Pandas, Python, Pytorch, Scipy, Tensorflow, caffe","서울 강남구 삼성로 524 (삼성동, 세화빌딩) 5층",https://www.jobkorea.co.kr/Recruit/Co_Read/C/33974343,https://www.jobkorea.co.kr/Recruit/GI_Read/44543893?rPageCode=SL&logpath=21&sn=6,2024.04.25(목),2024.05.31(금)
딥러닝 알고리즘 엔지니어(신입),블루닷㈜,신입,대졸↑,서울 강남구,정규직,"Pytorch, Tensorflow","서울 강남구 언주로 527 (역삼동, 강남텔레피아빌딩) 4층",https://www.jobkorea.co.kr/Recruit/Co_Read/C/29363972,https://www.jobkorea.co.kr/Recruit/GI_Read/44549377?rPageCode=SL&logpath=21&sn=6,2024.04.25(목),2024.05.24(금)
[국비무료IT취업교육]JAVA웹앱/프론트엔드/백엔드/풀스택/빅데이터/인공지능 외 자바개발자취업교육과정/준비된 인재로 취업하기/SW융복합 인재양성 /수료전부터 취업연계매칭시스템,한국ICT인재개발원,신입·경력,고졸↑,서울,연수생/교육생,"AWS, Git, Hadoop, JAVA, MyBatis, MySQL, OracleDB, Python, Spring, Spring Boot","서울 마포구 백범로 23 (신수동, 거구장) 케이터틀 3층",https://www.jobkorea.co.kr/Recruit/Co_Read/C/23221213,https://www.jobkorea.co.kr/Recruit/GI_Read/44714027?rPageCode=SL&logpath=21&sn=6,2024.05.20(월),2024.05.27(월)
[국비전액무료IT취업교육] JAVA기반 풀스택 개발자 취업교육생 모집 (JAVA/웹/앱/풀스택/프론트엔드/백엔드/클라우드/빅데이터/최우수훈련기관/100퍼센트 취업지원 및 기업매칭),쌍용교육센터,신입·경력,학력무관,서울 강남구 외,연수생/교육생,"계획성, 성취지향성,                                     꼼꼼함","서울 강남구 테헤란로 132 (역삼동, 한독약품빌딩) 8층 쌍용교육센터",https://www.jobkorea.co.kr/Recruit/Co_Read/C/19085429,https://www.jobkorea.co.kr/Recruit/GI_Read/44599190?rPageCode=SL&logpath=21&sn=6,2024.05.07(화),2024.06.06(목)
"[전액국비,취업연계] [Harman] 세미콘 아카데미-반도체 설계, [Intel] 엣지 AI SW 아카데미 교육생 모집",대한상공회의소 서울기술교육센터,신입·경력,학력무관,서울 금천구 외,연수생/교육생,"Android, C#, HMI, JPA, OpenCV, Spring, SQL, ARM, AVR, JSTL, JWT, PLC, JUnit, IoT, 임베디드 시스템, 웹서버, alot, 인텔엣지","서울 강서구 화곡로 179 (화곡동, 대한상공회의소서울기술교육센터) (화곡역 2번 출구 도보 20m 앞)",https://www.jobkorea.co.kr/Recruit/Co_Read/C/20379724,https://www.jobkorea.co.kr/Recruit/GI_Read/44572488?rPageCode=SL&logpath=21&sn=6,2024.04.29(월),2024.06.29(토)
[서울/경기]100프로 무료 취업교육생모집 (UI.UX웹디자인&퍼블리셔/웹개발/게임/빅데이터/영상),엠비씨(MBC)아카데미 컴퓨터교육센터,신입·경력,고졸↑,서울 강남구 외,연수생/교육생,"AWS, JAVA, BIM, CAD, Spring Framework, 3D Printer, UI, UX, 모션 그래픽, 정보보안기사 자격, 영상편집, C언어, MAX, 소프트웨어, 웹프로그래머, 블랜더","서울 관악구 신림로 340 (신림동, 르네상스복합쇼핑몰) 6층 국제컴퓨터아카데미",https://www.jobkorea.co.kr/Recruit/Co_Read/C/20016955,https://www.jobkorea.co.kr/Recruit/GI_Read/44407659?rPageCode=SL&logpath=21&sn=6,2024.04.08(월),2024.06.07(금)
'24년 상반기 임용 수시 공개채용 공고[정규직 / 전문계약직 / 무기계약직(기능원) / 고경력 전문인력],국방과학연구소,신입·경력,초대졸↑,서울,정규직 외,"OPIc, TEPS, TOEFL, TOEIC, TOEIC Speaking",대전 유성구 수남동 111,https://www.jobkorea.co.kr/Recruit/Co_Read/C/12310497,https://www.jobkorea.co.kr/Recruit/GI_Read/44743826?rPageCode=SL&logpath=21&sn=6,2024.05.22(수),2024.06.03(월)
데이터 사이언티스트 경력직 채용,에스케이쉴더스㈜,경력5년↑,대졸↑,서울 강남구,정규직,"AWS, Git, NoSQL, Pandas, SQL, Tensorflow, Numpy, Scikit-Learn, D3.js, Restful API","서울 강남구 봉은사로 613 (삼성동, ADT캡스 제1빌딩) ",https://www.jobkorea.co.kr/Recruit/Co_Read/C/18011,https://www.jobkorea.co.kr/Recruit/GI_Read/44741666?rPageCode=SL&logpath=21&sn=6,2024.05.22(수),2024.05.31(금)
"[원주, 서울] 한국산업기술시험원 행정/연구직 채용",한국산업기술시험원,신입,학력무관,서울 구로구 외,계약직,"성실성, 윤리의식, 협동심,                                     계획성, 적응성, 꼼꼼함",강원 원주시 흥업면 북원로 1397 (매지리) 한국산업기술시험원 강원분소,https://www.jobkorea.co.kr/Recruit/Co_Read/C/6503,https://www.jobkorea.co.kr/Recruit/GI_Read/44728550?rPageCode=SL&logpath=21&sn=6,2024.05.21(화),2024.05.31(금)
빅데이터/AI 솔루션 개발자 - 경력 모집,㈜이씨마이너,경력,대졸↑,서울 강남구,정규직,"C, C++, JAVA","서울 강남구 논현로28길 54 (도곡동, 덕원빌딩) 4층",https://www.jobkorea.co.kr/Recruit/Co_Read/C/200776,https://www.jobkorea.co.kr/Recruit/GI_Read/44681753?rPageCode=SL&logpath=21&sn=6,2024.05.14(화),2024.06.13(목)
