,Location,Company,Title,Career,Edu,URL,InfoDetails,Tag,D_Day
0,서울 서초구 외,스마트인재개발원(사),"[82%취업] 빅데이터,AI 무료취업과정 모집!",무관(신입포함),학력무관,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=47886223&adsCategoryItem=effect_bold&,,"IT개발·데이터,백엔드/서버개발,앱개발,웹개발,머신러닝,빅데이터,정보통신,AI(인공지능),APM,AR(증강현실),IoT,VR(가상현실),.NET,Ajax,Android,ASP,C,,C++,C언어,Hadoop,HTML,Java,Linux,Perl,PHP,Python,Ruby,XML,서울,강남구,관악구,서초구,성동구,광주,남구,동구,서구,전남,순천시,전북",시작일2024.03.29 00:00마감일2024.07.19 23:59
1,서울 송파구 외,(주)케이티,[Cloud 분야] 2024 AI 혁신 우수인재 채용,경력,대졸(4년제) 이상,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=48212703,,"기획·전략,앱기획,PL(프로젝트리더),PM(프로젝트매니저),ISP,IT개발·데이터,앱개발,IT컨설팅,SI개발,솔루션,아키텍쳐,인프라,클라우드,S/W,AWS,Azure,Kubernetes,PaaS,PL/SQL,SaaS,디자인,CI디자인,영업·판매·무역,B2B,서울,송파구,종로구,경기,성남시 분당구",시작일2024.05.17 00:00마감일2024.06.02 23:59
2,서울 강남구 외,(주)에이아이트릭스,Solution Engineering Lead,경력 5~10년,학력무관,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=48250256,,"IT개발·데이터,기술지원,데이터엔지니어,백엔드/서버개발,앱개발,웹개발,프론트엔드,유지보수,SE(시스템엔지니어),SI개발,네트워크,AR(증강현실),VR(가상현실),클라우드,API,DevOps,트러블슈팅,Windows,AWS,Azure,Java,Javascript,MongoDB,OracleDB,MySQL,SpringBoot,WAS,Python,MSSQL,Linux,Kotlin,서울,강남구,관악구,동작구,서초구",시작일2024.05.22 00:00마감일2024.06.20 23:59
3,서울 강남구 외,(주)크레버스,[크레버스] Data Engineer 채용(경력 5년 이상),경력 5~10년,고교졸업 이상,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=48247763,,"기획·전략,기획,사업기획,서비스기획,앱기획,웹기획,IT컨설팅,데이터분석,시장조사,자료조사,트렌드분석,UI/UX,마케팅·홍보·조사,광고마케팅,글로벌마케팅,디지털마케팅,마케팅,마케팅기획,마케팅전략,모바일마케팅,브랜드마케팅,오프라인마케팅,온라인마케팅,조사원,CRM마케팅,사회조사,시장조사,총무·법무·사무,시설관리,자산관리,OA,IT개발·데이터,기술지원,데이터분석가,데이터엔지니어,백엔드/서버개발,보안관제,보안컨설팅,앱개발,웹개발,웹마스터,정보보안,프론트엔드,IT컨설팅,네트워크,데이터라벨링,데이터마이닝,데이터시각화,반응형웹,빅데이터,웹표준·웹접근성,인프라,정보통신,크로스브라우징,클라우드,API,ERP,IDC,VPN,Windows,Ajax,Angular,ASP,ASP.NET,AWS,Azure,Bootstrap,C,,CSS,CSS3,Git,HTML,HTML5,Java,Javascript,jQuery,Linux,MSSQL,MySQL,Node.js,NoSQL,OracleDB,PL/SQL,PostgreSQL,Python,React,React-Native,ReactJS,Redux,RestAPI,Ruby,Spring,SpringBoot,SQL,SQLite,Vue.js,디자인,UI/UX디자인,Figma,HTML,구매·자재·물류,구매,구매관리,재고관리,창고관리,SCM,개발구매,입고/입하,정산관리,출고/출하,피킹(집품),상품기획·MD,시장조사,이커머스,트렌드분석,운전·운송·배송,전동지게차,지게차,서비스,요리사,제과/제빵사,조리사,설비점검,시설관리,청소,생산,단순생산직,생산,생산관리,생산기술,설비OP,배합,세척밸리데이션,ERP,건설·건축,설비보수,위생설비,전기설비,연구·R&D,연구원,R&D,R&D기획,메뉴개발,식품연구,교육,정보보호교육,서울,강남구,경기,용인시,충남,천안시",시작일2024.05.22 00:00마감일2024.06.20 23:59
4,서울 강남구 외,블루닷(주),딥러닝 알고리즘 엔지니어 (경력),경력 3~12년,대졸(4년제) 이상,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=48244501,,"IT개발·데이터,프론트엔드,백엔드/서버개발,Python,Java,Javascript,Linux,서울,강남구",시작일2024.05.22 00:00마감일2024.06.20 23:59
5,서울 구로구,(주)이엠넷,상반기 IT기획자/카피라이터/디자이너/총무/회계/정산/HRD 공채,신입·경력,대졸(4년제) 이상,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=48218958,,"기획·전략,광고기획,기획,마케팅기획,브랜드기획,사업기획,경영관리,데이터분석,시장조사,신사업기획,마케팅·홍보·조사,광고PD,광고마케팅,기업홍보,디지털마케팅,마케팅,마케팅기획,마케팅전략,브랜드마케팅,온라인마케팅,인플루언서마케팅,콘텐츠기획,콘텐츠마케팅,콘텐츠에디터,AE(광고기획자),AM(어카운트매니저),BM(브랜드매니저),CD(크리에이티브디렉터),CW(카피라이터),SNS마케팅,광고주관리,광고캠페인,MCN,인사·노무·HRD,HRD,총무·법무·사무,법무,법무사,총무,전산총무,콘텐츠관리,IT개발·데이터,데이터시각화,머신러닝,솔루션,영상처리,AI(인공지능),디자인,광고디자인,그래픽디자인,디지털디자인,영상디자인,일러스트레이터,콘텐츠디자인,AD(아트디렉터),모션그래픽,인포그래픽,일러스트,PhotoShop,상품기획·MD,AMD,브랜드관리,브랜드기획,SNS,의료,병원총무,미디어·문화·스포츠,영상디자이너,인플루언서,AE(광고기획자),CW(카피라이터),PD/AD/FD,영상자막,영상제작,영상편집,서울,구로구",시작일2024.05.20 00:00마감일2024.05.26 23:59
6,서울 강남구 외,블루닷(주),딥러닝 알고리즘 엔지니어(신입),신입·경력 2년 ↓,대졸(4년제) 이상,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=48244492,,"IT개발·데이터,데이터엔지니어,데이터분석가,데이터라벨링,데이터마이닝,Python,R,서울,금천구",시작일2024.05.22 00:00마감일2024.06.20 23:59
7,서울 강남구,(주)씨이랩,[(주)씨이랩] 유니티 엔진 프로그래머 모집,경력 3년 ↑,대졸(4년제) 이상,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=48131390,,"IT개발·데이터,클라우드,Azure,AWS,IaaS,DevOps,PaaS,Docker,SaaS,NoSQL,서울,강남구",시작일2024.05.05 13:00마감일2024.06.04 23:59
8,서울 강남구,(주)씨이랩,[(주)씨이랩] ML FW개발자 모집,경력 1년 ↑,대졸(4년제) 이상,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=48256147,,"IT개발·데이터,Python,Redis,R,C언어,Java,Hadoop,HBase,SQL,Spark,빅데이터,영상처리,알고리즘,서울,강남구",시작일2024.05.23 13:00마감일2024.06.22 23:59
9,서울 강남구 외,(주)에이아이트릭스,Frontend Lead,경력 5~10년,학력무관,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=48250680,,"IT개발·데이터,웹개발,웹마스터,백엔드/서버개발,서울,강남구",시작일2024.05.22 00:00마감일2024.06.20 23:59
